,subject,predicate,object
0,Singapore city-state,north of,Equator
1,Singapore city-state,north,about 85 miles
2,north,consists of,Singapore Island
3,north,consists of,diamond-shaped Singapore Island
4,main island,is separated from,Peninsular Malaysia
5,island,is,separated from Peninsular Malaysia to north
6,island,is separated to,north by Johor Strait
7,main island,is separated to,north by Johor Strait
8,main island,is separated to,north
9,island,is separated from,Peninsular Malaysia
10,narrow channel,crossed by,road causeway
11,main island,is,separated from Peninsular Malaysia to north by Johor Strait
12,channel,crossed by,road causeway
13,island,is separated to,north
14,island,is,separated
15,main island,is,separated from Peninsular Malaysia to north
16,island,is,separated from Peninsular Malaysia to north by Johor Strait
17,main island,is,separated
18,outliers,extend to,to 10 miles of main island
19,outliers,extend to,to 10 miles
20,limits,run through,Singapore Strait
21,outliers,extend to,to 10 miles of island
22,southern limits,run through,Singapore Strait
23,Singapore,is,largest port
24,largest port,is in,Southeast Asia
25,Singapore,is port in,Southeast Asia
26,Singapore,is largest port in,Southeast Asia
27,Singapore,is,port
28,Singapore,owes prosperity to,Singapore focal position at extremity
29,Singapore,owes prosperity to,Singapore position at southern extremity
30,Singapore,owes,prosperity
31,Singapore,owes Singapore growth to,Singapore position at extremity of Malay Peninsula
32,Singapore,owes Singapore growth to,Singapore position at extremity
33,Singapore,owes prosperity to,Singapore focal position at southern extremity
34,Singapore,owes Singapore growth to,Singapore focal position at extremity
35,Singapore,owes Singapore growth to,Singapore position at southern extremity of Malay Peninsula
36,Singapore,owes prosperity to,Singapore focal position
37,Singapore,owes prosperity to,Singapore focal position at extremity of Malay Peninsula
38,Singapore,owes prosperity to,Singapore focal position at southern extremity of Malay Peninsula
39,Singapore,owes prosperity to,Singapore position at southern extremity of Malay Peninsula
40,Singapore,owes Singapore growth to,Singapore position at southern extremity
41,Singapore,owes Singapore growth to,Singapore focal position at extremity of Malay Peninsula
42,Singapore,owes prosperity to,Singapore position
43,Singapore,owes Singapore growth to,Singapore focal position
44,Singapore,owes prosperity to,Singapore position at extremity of Malay Peninsula
45,Singapore,owes Singapore growth to,Singapore focal position at southern extremity of Malay Peninsula
46,Singapore,owes prosperity to,Singapore position at extremity
47,Singapore,owes Singapore growth to,Singapore position
48,Singapore,owes Singapore growth to,Singapore focal position at southern extremity
49,Singapore,owes,Singapore growth
50,member,Federation of,Malaysia
51,sea level,above feet is,15 metres
52,Singapore,block of,terrain
53,Singapore,forms block in,centre of main island
54,Singapore,forms,block
55,Singapore,forms,block of rugged terrain
56,Timah Hill,has elevation with,peaks
57,Timah Hill,has,elevation of 531 feet
58,Timah Hill,has elevation with,other peaks
59,Singapore,forms,block of terrain
60,Timah Hill,has,elevation
61,Singapore,forms block in,centre of island
62,Singapore,block of,rugged terrain
63,Singapore,forms block in,centre
64,lower scarps,is with,marked northwest-southeast trends such Mount Faber
65,main island,part of is,plateau cut
66,main island,eastern part of is,plateau cut by erosion
67,main island,eastern part of is,plateau cut by erosion into intricate pattern
68,island,part of is,low plateau cut into pattern of hills
69,main island,eastern part of is,plateau cut
70,island,part of is,low plateau cut
71,eastern part,is,low plateau cut into pattern of hills
72,island,eastern part of is,plateau cut by erosion into pattern of hills
73,island,eastern part of is,low plateau cut into pattern
74,main island,eastern part of is,low plateau cut into pattern
75,main island,part of is,low plateau
76,main island,eastern part of is,low plateau
77,main island,part of is,low plateau cut into intricate pattern
78,main island,part of is,low plateau cut by erosion into pattern of hills
79,main island,part of is,plateau
80,main island,eastern part of is,low plateau cut into intricate pattern
81,island,part of is,plateau cut into pattern of hills
82,eastern part,is,plateau cut into intricate pattern
83,main island,eastern part of is,low plateau cut by erosion into pattern of hills
84,island,eastern part of is,plateau cut by erosion into pattern
85,island,eastern part of is,plateau cut by erosion
86,part,is,plateau cut by erosion into intricate pattern of hills
87,island,part of is,plateau cut into pattern
88,island,eastern part of is,low plateau cut into intricate pattern of hills
89,island,eastern part of is,plateau cut
90,island,part of is,low plateau cut by erosion into pattern of hills
91,eastern part,is,plateau cut by erosion into intricate pattern
92,main island,eastern part of is,low plateau cut into pattern of hills
93,island,eastern part of is,low plateau
94,island,eastern part of is,plateau cut by erosion into intricate pattern of hills
95,island,eastern part of is,plateau cut into intricate pattern
96,main island,eastern part of is,plateau
97,part,is,plateau cut into pattern of hills
98,main island,eastern part of is,plateau cut into intricate pattern of hills
99,main island,eastern part of is,low plateau cut by erosion into intricate pattern
100,island,eastern part of is,plateau cut into pattern
101,eastern part,is,plateau cut by erosion into pattern of hills
102,main island,eastern part of is,plateau cut into pattern
103,main island,part of is,low plateau cut
104,main island,part of is,plateau cut into intricate pattern
105,island,eastern part of is,low plateau cut into intricate pattern
106,island,eastern part of is,plateau cut into intricate pattern of hills
107,main island,eastern part of is,low plateau cut into intricate pattern of hills
108,main island,part of is,plateau cut by erosion into pattern of hills
109,part,is,plateau cut by erosion
110,part,is,plateau cut into pattern
111,island,part of is,low plateau cut into intricate pattern of hills
112,eastern part,is,low plateau cut by erosion into intricate pattern of hills
113,part,is,plateau
114,island,eastern part of is,low plateau cut
115,eastern part,is,low plateau cut by erosion
116,part,is,low plateau cut by erosion into intricate pattern of hills
117,eastern part,is,low plateau cut by erosion into pattern
118,main island,eastern part of is,low plateau cut by erosion
119,island,part of is,plateau
120,part,is,plateau cut into intricate pattern
121,eastern part,is,low plateau cut by erosion into intricate pattern
122,island,eastern part of is,low plateau cut by erosion into intricate pattern of hills
123,eastern part,is,low plateau cut
124,main island,part of is,low plateau cut by erosion into pattern
125,main island,part of is,plateau cut into pattern
126,main island,part of is,plateau cut by erosion into pattern
127,main island,part of is,plateau cut into intricate pattern of hills
128,island,part of is,low plateau
129,eastern part,is,low plateau cut into pattern
130,island,part of is,plateau cut into intricate pattern of hills
131,part,is,low plateau cut into pattern of hills
132,part,is,low plateau cut by erosion into pattern of hills
133,eastern part,is,plateau cut into pattern of hills
134,island,part of is,low plateau cut into pattern
135,main island,part of is,low plateau cut into pattern
136,part,is,plateau cut by erosion into intricate pattern
137,main island,eastern part of is,low plateau cut by erosion into pattern
138,island,part of is,plateau cut by erosion into intricate pattern of hills
139,eastern part,is,plateau cut by erosion
140,eastern part,is,plateau cut by erosion into pattern
141,part,is,low plateau cut into pattern
142,main island,part of is,low plateau cut by erosion
143,island,part of is,low plateau cut by erosion into pattern
144,eastern part,is,plateau cut into pattern
145,island,part of is,plateau cut
146,main island,part of is,low plateau cut by erosion into intricate pattern of hills
147,part,is,low plateau cut by erosion into intricate pattern
148,main island,eastern part of is,low plateau cut
149,part,is,low plateau cut by erosion into pattern
150,island,part of is,plateau cut by erosion into pattern of hills
151,part,is,plateau cut by erosion into pattern
152,island,part of is,low plateau cut into intricate pattern
153,island,part of is,low plateau cut by erosion into intricate pattern of hills
154,island,part of is,plateau cut by erosion into pattern
155,eastern part,is,low plateau cut into intricate pattern of hills
156,island,part of is,low plateau cut by erosion
157,part,is,plateau cut by erosion into pattern of hills
158,main island,part of is,plateau cut by erosion
159,island,eastern part of is,low plateau cut into pattern of hills
160,part,is,low plateau cut into intricate pattern of hills
161,island,part of is,plateau cut by erosion
162,main island,part of is,low plateau cut into intricate pattern of hills
163,eastern part,is,plateau cut by erosion into intricate pattern of hills
164,main island,eastern part of is,low plateau cut by erosion into intricate pattern of hills
165,island,part of is,plateau cut by erosion into intricate pattern
166,main island,eastern part of is,plateau cut by erosion into pattern
167,eastern part,is,low plateau
168,island,eastern part of is,low plateau cut by erosion into pattern of hills
169,main island,part of is,low plateau cut by erosion into intricate pattern
170,eastern part,is,plateau
171,eastern part,is,plateau cut into intricate pattern of hills
172,island,eastern part of is,plateau cut into pattern of hills
173,main island,eastern part of is,plateau cut into intricate pattern
174,main island,eastern part of is,plateau cut into pattern of hills
175,part,is,low plateau cut
176,main island,eastern part of is,plateau cut by erosion into pattern of hills
177,island,eastern part of is,plateau
178,part,is,plateau cut into intricate pattern of hills
179,eastern part,is,low plateau cut by erosion into pattern of hills
180,part,is,low plateau cut into intricate pattern
181,eastern part,is,low plateau cut into intricate pattern
182,island,eastern part of is,plateau cut by erosion into intricate pattern
183,part,is,low plateau cut by erosion
184,part,is,low plateau
185,island,eastern part of is,low plateau cut by erosion into pattern
186,main island,eastern part of is,plateau cut by erosion into intricate pattern of hills
187,island,part of is,plateau cut into intricate pattern
188,main island,part of is,plateau cut into pattern of hills
189,part,is,plateau cut
190,main island,part of is,plateau cut by erosion into intricate pattern
191,island,eastern part of is,low plateau cut by erosion
192,part,is,low
193,island,eastern part of is,low plateau cut by erosion into intricate pattern
194,island,part of is,low plateau cut by erosion into intricate pattern
195,main island,part of is,plateau cut by erosion into intricate pattern of hills
196,eastern part,is,plateau cut
197,main island,part of is,low plateau cut into pattern of hills
198,foundations,are,formed
199,geologic foundations,are,formed
200,hills,are formed from,granite rocks
201,units,reflect,physical units
202,foundations,are,formed from granite rocks
203,central hills,are,formed
204,units,reflect,units
205,geologic foundations,are,formed from granite rocks
206,physical units,reflect,units
207,physical units,reflect,physical units
208,hills,are,formed
209,central hills,are formed from,granite rocks
210,Soils,developed from,rocks
211,Soils,developed from,sedimentary rocks
212,soils,are,infertile
213,soils,are,extremely infertile
214,All,have suffered degradation as,result of generations of human exploitation
215,All,have suffered degradation as,result of generations
216,All,have suffered degradation as,result of generations of exploitation
217,All,have suffered,extensive degradation
218,All,have suffered degradation through,erosion
219,All,have suffered degradation as,result of generations of careless human exploitation
220,All,have suffered,degradation
221,All,have suffered degradation as,result of generations of careless exploitation
222,All,have suffered degradation as,result
223,Singapore,is in,equatorial monsoon region
224,Singapore climate,is characterized by,high temperatures
225,Singapore,is in,monsoon region of Southeast Asia
226,Singapore climate,is characterized by,uniformly high temperatures
227,Singapore climate,is characterized by,temperatures
228,Singapore,is in,monsoon region
229,Singapore climate,is,characterized
230,Singapore,is in,equatorial monsoon region of Southeast Asia
231,average temperature,varies from,81 ° F
232,monthly temperature,varies from,about 81 ° F
233,temperature,varies from,about 81 ° F
234,temperature,varies from,27 ° C
235,average monthly temperature,varies from,27 ° C
236,monthly temperature,varies from,81 ° F
237,average monthly temperature,varies from,about 81 ° F
238,average monthly temperature,varies from,81 ° F
239,average temperature,varies from,27 ° C
240,temperature,varies from,81 ° F
241,average temperature,varies from,about 81 ° F
242,monthly temperature,varies from,27 ° C
243,June,is in,January
244,range,is,somewhat greater
245,daily range,averaging about,7 ° C
246,range,averaging about,13 ° F
247,range,averaging about,7 ° C
248,daily range,is,somewhat greater
249,range,is,greater
250,daily range,is,greater
251,daily range,averaging about,13 ° F
252,constant humidity,however keep,maximum temperatures relatively moderate
253,Singapore maritime location,however keep,maximum temperatures moderate
254,constant humidity,however keep,temperatures moderate
255,Singapore maritime location,keep,temperatures moderate
256,Singapore maritime location,keep,maximum temperatures moderate
257,Singapore maritime location,keep,temperatures relatively moderate
258,constant humidity,however keep,maximum temperatures moderate
259,temperature,was,only 97 ° F
260,Singapore maritime location,keep,maximum temperatures relatively moderate
261,humidity,keep,temperatures moderate
262,Singapore maritime location,however keep,maximum temperatures relatively moderate
263,humidity,however keep,maximum temperatures moderate
264,humidity,keep,maximum temperatures moderate
265,constant humidity,however keep,temperatures relatively moderate
266,constant humidity,keep,maximum temperatures relatively moderate
267,Singapore maritime location,however keep,temperatures moderate
268,humidity,keep,maximum temperatures relatively moderate
269,humidity,however keep,temperatures relatively moderate
270,constant humidity,keep,maximum temperatures moderate
271,Singapore maritime location,however keep,temperatures relatively moderate
272,humidity,however keep,maximum temperatures relatively moderate
273,humidity,however keep,temperatures moderate
274,constant humidity,keep,temperatures moderate
275,humidity,keep,temperatures relatively moderate
276,highest temperature,was,only 97 ° F
277,constant humidity,keep,temperatures relatively moderate
278,seasons,are defined by,relative incidence of rainfall
279,seasons,are defined by,incidence of rainfall
280,seasons,are defined by,relative incidence
281,seasons,are,defined
282,seasons,are defined by,incidence
283,northeast monsoon,is with,rainfall reaching in December
284,wettest period,is during,northeast monsoon
285,wettest period,is during,northeast monsoon with rainfall
286,period,is during,northeast monsoon
287,period,is during,northeast monsoon with rainfall
288,amount,period of is,southwest monsoon with rainfall dropping
289,period,is during,southwest monsoon with rainfall dropping to low
290,least amount,period of is,southwest monsoon with rainfall dropping to low
291,amount,period of is,southwest monsoon
292,least amount,period of is,southwest monsoon with rainfall dropping
293,amount,period of is,Conversely southwest monsoon with rainfall dropping to monthly low
294,least amount,period of is,Conversely southwest monsoon
295,period,is during,Conversely southwest monsoon with rainfall dropping to low
296,period,is during,southwest monsoon with rainfall dropping to monthly low
297,amount,period of is,Conversely southwest monsoon
298,period,is during,southwest monsoon with rainfall
299,period,is during,southwest monsoon with rainfall dropping
